entity_id,canonical_name,gender,basis,n_female_titles,n_male_titles,n_untitled_rows
Pcc6b6566b1,Fadhel BEN OTHMEN,M,3 male honorifics,0,3,0
P2a93a0ba2a,Fakher CHEIKHROUHOU Administrateur Indépendant,M,2 male honorifics,0,2,0
P6bac05f0a4,Faouzi BEN ABDERRAHMEN,M,2 male honorifics,0,2,0
P8a835849b9,Faouzi BEN ABDERRAHMEN ( Membre indépendant),M,2 male honorifics,0,2,0
P2576996945,Faouzi ELLOUMI,M,5 male honorifics,0,5,0
P9f098adf42,Faouzi HMIDA : Gérant d’une société,M,1 male honorific,0,1,0
Pd257d34424,Faouzi HMIDA : gérant de la société,M,1 male honorific,0,1,0
P72fc7f3f00,Faouzi Jilani,M,1 male honorific,0,1,0
Pc327b17992,Faouzi KHATTAT,M,2 male honorifics,0,2,0
P510a7966ab,Farouk DZIRI,M,1 male honorific,0,1,0
P56604f94ce,Fathi Ben Moussa,M,1 male honorific,0,1,0
P3f6530b8b9,Fathi Hachicha,M,1 male honorific,0,1,0
Pbdd01c9507,Fathi MESTIRI,M,2 male honorifics,0,2,0
Pbfcfd7542c,Faycel ZINE ELABIDDINE,M,1 male honorific,0,1,0
Pf557cf9296,Fayçal BEN 'BAREK,M,1 male honorific,0,1,0
P04ee8ef73e,Faïssal CHAHROUR,M,3 male honorifics,0,3,0
Pde8365cc81,Fehmi Guesmir,M,1 male honorific,0,1,0
Pffb85d883a,Ferid ABBES,M,1 male honorific,0,1,2
P54394983c2,Ferid Ali BEN BRAHIM,M,1 male honorific,0,1,0
Paf7a6c8bde,Fethi BEN MOUSSA,M,6 male honorifics,0,6,0
P5b45d1eeae,Fethi BLANCO Membre Lui même 2006-2008 Tunis,M,1 male honorific,0,1,0
Pfff671fb31,Fethi BLANCO Membre mandaté par l'ATB Lui même 2009-2011 Tunis,M,3 male honorifics,0,3,0
P92e420c996,Fethi BLANCO Membre mandaté par lʹATB Lui même 2009‐2011 Tunis,M,1 male honorific,0,1,0
P630538af2a,Fouazi Jilani,M,1 male honorific,0,1,0
P1ef22e809c,Foued BORZELI,M,4 male honorifics,0,4,0
Pe9eaf32874,Fréderic GOUPY,M,2 male honorifics,0,2,0
P5899f62760,Frédéric GODEBERGE,M,2 male honorifics,0,2,1
P16c07b50a0,Féthi MESTIRI,M,12 male honorifics,0,12,3
Pd71ad11646,Ghaith Mismar,M,1 male honorific,0,1,0
P82eb512967,Ghassen Hanna Souleiman Tarzi Membre,M,1 male honorific,0,1,0
Pf49c93506a,Ghassen TARAZI,M,2 male honorifics,0,2,0
P8ad67f7175,Ghazi BOULILA,M,1 male honorific,0,1,0
P095d3cbc3f,Ghazi BOULILA (Administrateur indépendant),M,1 male honorific,0,1,0
P3173736969,Gonzague DE VILLELE*,M,3 male honorifics,0,3,0
Pb5807c06a2,Grégoire LEFEBVRE,M,1 male honorific,0,1,0
Pce304b5600,Guillaume D’ADHEMAR,M,1 male honorific,0,1,1
Pe0df50f375,Guy DE CLERCO,M,1 male honorific,0,1,0
P26c6f0b87e,Guy DE CLERCQ,M,2 male honorifics,0,2,0
P43f668e519,HABIB ESSEYAH,M,9 male honorifics,0,9,0
P3c698bdd43,HEDI BEJAOUI Directeur Général des services communs du Ministère du Développement et de la Coopération Internationale,M,1 male honorific,0,1,0
Pbac427519b,Habib BEN SAAD,M,3 male honorifics,0,3,0
Pe122b84d9f,Habib BENHADJ,M,1 male honorific,0,1,0
Pd9bb4b7527,Habib BOUAZIZ,M,25 male honorifics,0,25,0
P75fe9b810a,Habib Bouzouita,M,3 male honorifics,0,3,1
P487d3c2a78,Habib DRIDI,M,2 male honorifics,0,2,0
P6b74d0b487,Habib El Amri,M,3 male honorifics,0,3,0
Pf4a41568b8,Habib Gouider,M,2 male honorifics,0,2,0
P6dfc45783e,Habib Guedri,M,1 male honorific,0,1,1
P743e086700,Habib KAMOUN,M,7 male honorifics,0,7,0
Pa92cd7a3b0,Habib KARAOULI,M,2 male honorifics,0,2,1
Pcc88ad039c,Habib MEKKI,M,1 male honorific,0,1,0
P35ab11337e,Habib Miled,M,8 male honorifics,0,8,0
P248b8c8195,Habib TOUMI,M,2 male honorifics,0,2,1
Pae7a52336d,Hafedh HMAÏD,M,1 male honorific,0,1,0
P4edbcaeef7,Hakim DOGHRI,M,1 male honorific,0,1,0
P9349cd09c7,Halim BEN YEDDER,M,4 male honorifics,0,4,0
P48ce174eab,Hamadi HENTATI Administrateur représentant les petits porteurs,M,2 male honorifics,0,2,0
Pe3fa988039,Hamadi Mokdadi,M,1 male honorific,0,1,0
Pb04cff9052,Hamadi Mokdadi (représentant des petits,M,1 male honorific,0,1,0
P32f07d6f3c,Hamdene Ben Othmane,M,1 male honorific,0,1,0
P7bb45bc334,Hamdi BEN REJEB,M,2 male honorifics,0,2,0
P7e49323662,Hamouda Belkhouja,M,4 male honorifics,0,4,0
Pa7717a9a90,Hamouda CHEKIR,M,1 male honorific,0,1,0
P3f2daa35bf,"Hamouda CHEKIR, démissionnaire en date du 01/04/2017",M,1 male honorific,0,1,0
P4882b1e647,Hassan ALLAYA,M,1 male honorific,0,1,0
P2fe359e108,Hassene FEKI,M,2 male honorifics,0,2,0
P15493fe1e3,Hassine DOGHRI,M,2 male honorifics,0,2,0
P9b02fbbd63,Hatem BEN AMMEUR,M,2 male honorifics,0,2,0
P35fda41ef8,Hatem HABBECHI,M,1 male honorific,0,1,0
Pcb594079de,Hatem HAMZA,M,1 male honorific,0,1,0
P5a41303105,Hatem SAIGHI,M,1 male honorific,0,1,0
P8cbc99b656,Haykel DEBBABI : Médecin,M,1 male honorific,0,1,0
P534c7a7be3,Haykel DEBBABI : associé et gérant à la société,M,1 male honorific,0,1,0
P33b21f0917,Hedi BEN AYED,M,1 male honorific,0,1,0
Pbf781642d1,Helmi ELGHALI,M,1 male honorific,0,1,0
Pb00da63895,Hemdane Ben Othman,M,1 male honorific,0,1,0
P037e4dc4c1,Hemdane Ben Othmane,M,2 male honorifics,0,2,0
P285b32945b,Hicham SEFFA,M,6 male honorifics,0,6,0
Pc466ac9d47,Hichem ELLOUMI,M,5 male honorifics,0,5,0
Pf06e2016f9,Hichem MOKRANI,M,4 male honorifics,0,4,0
P8e936e963e,Hichem Saber AL SOUIDEN,M,2 male honorifics,0,2,0
P491365d768,Hichem TERZI,M,2 male honorifics,0,2,0
P17a158b697,Hichem ZBIDI,M,1 male honorific,0,1,0
P76653d8f0e,Hichem ZGHAL,M,16 male honorifics,0,16,6
