entity_id,canonical_name,year,pc_state_ownership,pc_state_board,pc_officeholder,pc_public_bank,pc_political_figure,pc_officeholder_former,pc_public_bank_equity,max_state_stake_pct,pc_narrow,pc_broad,n_evidence,n_evidence_ocr,categories
Fdba8af1e23,LES JARDINS DE HAMMAMET,2019,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F5637b3612e,LLOYD,2017,0,0,0,1,0,0,1,,0,1,1,1,public_bank_equity
Faf18d2420c,"La Banque Nationale Agricole, fondée le 1er juin 1959, fête cette",2018,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
Ffacd4b4eeb,La Cellule de Bonne Gouvernance,2012,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
Fa0e85c1f07,La STB entend maintenir son statut d'acteur financier,2017,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
F94513d28af,La maison du banquier,2008,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F37be301e67,La nouvelle stratégie basée sur une gouvernance,2017,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
F728dfcfdf5,Le s,2022,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
Fa50705dcfe,Les principaux agrégats d'activité et de performance,2017,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
F4465025c86,Les trois chartes ont été approuvées par,2012,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
Fe4becc6b5e,M-E,2008,0,0,0,1,0,0,1,,0,1,3,0,public_bank_equity
F4835bcdce5,M.Abderraouf Klibi,2018,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
F846baea8b4,MAE,2019,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
F846baea8b4,MAE,2021,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
Fc1a636a856,MAISON DU BANQUIER,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fa4e692511a,MEDIBOIS - HORCHANI DATTES - MEDIMETAL - MEDITOM - HORCHANI PECHE - IMMOBILIERE HORCHANI - MEDICAR,2009,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
Fa4e692511a,MEDIBOIS - HORCHANI DATTES - MEDIMETAL - MEDITOM - HORCHANI PECHE - IMMOBILIERE HORCHANI - MEDICAR,2015,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
Fa4e692511a,MEDIBOIS - HORCHANI DATTES - MEDIMETAL - MEDITOM - HORCHANI PECHE - IMMOBILIERE HORCHANI - MEDICAR,2017,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
Fa4e692511a,MEDIBOIS - HORCHANI DATTES - MEDIMETAL - MEDITOM - HORCHANI PECHE - IMMOBILIERE HORCHANI - MEDICAR,2018,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F676c8e9a64,MINISTERE DES FINANCES,2008,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
F2d5c846e3d,MODERN LEASING,2006,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F2d5c846e3d,MODERN LEASING,2007,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
