vertex.id,node_id,label,node_type
11943,CO_PERFECTION_LABO_COSMETIQUE_TUNISIE,SOCIETE LA PERFECTION LABO COSMETIQUE TUNISIE,ORG
11944,PERSON_SASI_FIRAS,FIRAS SASSI,PERSON
11945,CO_H24_EVENTS_AND_SERVICES,H24 EVENTS AND SERVICES,ORG
11946,CO_HANNIBAL_SILVER_COMPANY,HANNIBAL SILVER COMPANY,ORG
11947,PERSON_ELOUMI_DORA,DORRA ELLOUMI,PERSON
11948,CO_ORGANISATION_CONSEIL_FORMATION,ORGANISATION CONSEIL ET FORMATION OCF,ORG
11949,ORGMENTION_Société d'Assurances et de Réassurances à forme mutuelle,Société d'Assurances et de Réassurances à forme mutuelle,ORG
11950,PERSON_ZOUARI_MOHAMED_FADHEL_BENABDELMAJID,MOHAMED FADHEL BEN-ABDELMAJID ZOUARI,PERSON
11951,CO_SOMOTEX,SOMOTEX,ORG
11952,PERSON_HAMAMI_MAISA,MAISSA HAMMAMI,PERSON
11953,CO_GIGA_ONE,GIGA ONE,ORG
11954,CO_DIAMANT_BLANC_NETTOYAGE_SERVICE,LE DIAMANT BLANC NETTOYAGE ET SERVICE,ORG
11955,CO_DIGIBELL_AGENCY,DIGIBELL AGENCY,ORG
11956,CO_MAYHANA_COMMERCE,MAYHANA DE COMMERCE,ORG
11957,CO_VENTURIS_DISTRIBUTION,SOCIETE VENTURIS DISTRIBUTION,ORG
11958,CO_COLMAR,COLMAR,ORG
11959,PERSON_SASI_MBARKA,MBARKA SASSI,PERSON
11960,PERSON_MARAKCHI_MOHAMED,MOHAMED MARAKCHI,PERSON
11961,PERSON_NEJI_RAFIK,RAFIK NEJI,PERSON
11962,PERSON_BENSLAMA_MOHAMED,MOHAMED BEN-SLAMA,PERSON
11963,CO_DISTRIBUTION_CONTINENTALE,SOCIETE DISTRIBUTION CONTINENTALE,ORG
11964,PERSON_ZOUARI_FARES,FARES ZOUARI,PERSON
11965,CO_ZOUARI_ADVERTISING_AGENCY,ZOUARI ADVERTISING AGENCY,ORG
11966,CO_MEHREZ_AKACHA,SOCIETE MEHREZ AKACHA,ORG
11967,PERSON_TRIKI_MOHAMED_MONCEF,MOHAMED MONCEF TRIKI,PERSON
11968,CO_OSRATI,OSRATI,ORG
11969,PERSON_TRIKI_OUALID,OUALID TRIKI,PERSON
11970,PERSON_HADJTAHER_IBRAHIM_BEL,IBRAHIM BEL-HADJ-TAHER,PERSON
11971,CO_TUNISIENNE_DHABILLEMENT_ETH,ENTREPRISE TUNISIENNE DHABILLEMENT ETH,ORG
11972,CO_GAMMARTH_IMMOBILIERE,GAMMARTH IMMOBILIERE,ORG
11973,PERSON_GUEDICH_EMNA,EMNA GUEDDICH,PERSON
11974,PERSON_GAHA_JALEL_EDINE,JALEL EDDINE GAHA,PERSON
11975,PERSON_KORBI_MAKREM,MAKREM KORBI,PERSON
11976,CO_TOP_USED,TOP USED,ORG
11977,CO_BEN_OMRANE_LAWYERS_GROUP,BEN OMRANE LAWYERS GROUP,ORG
11978,PERSON_SLAMA_SAHAR,SAHAR SLAMA,PERSON
11979,CO_ADVANCED_TECHNOLOGIE_SERVICES,SOCIETE ADVANCED TECHNOLOGIE SERVICES ATS,ORG
11980,PERSON_HAMDI_IMED,IMED HAMDI,PERSON
11981,CO_TUNISO_ALLEMANDE_DEVELOPPEMENT_AGRICOLE,TUNISO ALLEMANDE DE DEVELOPPEMENT AGRICOLE,ORG
11982,PERSON_SGATNI_OUAHIDA,OUAHIDA SGATNI,PERSON
11983,PERSON_ZOUARI_HASOUNA,HASSOUNA ZOUARI,PERSON
11984,CO_AUTO_LION,AUTO LION,ORG
11985,PERSON_LEMONIER_AGNES,AGNES LEMONNIER,PERSON
11986,CO_COMPAGNIE_TRANSPORTS_PAR_PIPE_LINES_AU_SAHARA_TRANSPA,COMPAGNIE DES TRANSPORTS PAR PIPE LINES AU SAHARA TRANSPA,ORG
11987,PERSON_JMAL_MOHAMED_SAID,MOHAMED SAID JMAL,PERSON
11988,CO_MARCO_MOBILI,MARCO MOBILI,ORG
11989,CO_VITALAIRE,VITALAIRE,ORG
11990,PERSON_TRIKI_LAMIA,LAMIA TRIKI,PERSON
11991,CO_ORIENTAL_STORE,SOCIETE ORIENTAL STORE,ORG
11992,PERSON_NAMOUCHI_AMEL,AMEL NAMOUCHI,PERSON
11993,CO_TECHNOTEX,TECHNOTEX,ORG
11994,PERSON_HAMROUNI_HELMI,HELMI HAMROUNI,PERSON
11995,CO_ASTRA_COMMERCE,ASTRA DE COMMERCE,ORG
11996,CO_ABM_MANAGEMENT,ABM MANAGEMENT,ORG
11997,CO_STIMEC,STIMEC,ORG
11998,CO_AGRICOLE_ABDERRAZEK_HAMMAMI_FILS,SOCIETE AGRICOLE ABDERRAZEK HAMMAMI ET FILS,ORG
11999,PERSON_ROUSEAU_BRUNO,BRUNO ROUSSEAU,PERSON
12000,CO_PM_INDUSTRIE,PM INDUSTRIE,ORG
12001,PERSON_HENTATI_BASEM,BASSEM HENTATI,PERSON
