id_type,value_normalised,rne_name_fr,rne_name_ar,rne_category,rne_year_creation,seed_org_id,seed_org_label,match_basis,match_score,is_identity,n_jort_orgs
matricule_fiscal,1580849D,ARKOU DESIGN IMAGE,اركو ديزاين ايماج,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1580854A,,علية للتجارة,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580855B,PREMIUM SPORTS AND EVENTS,بريميوم  سبورت أند إفنتس,SOCIETE,2018,CO_PREMIUM,PREMIUM,discriminating_fuzzy,1.0,1,1
matricule_fiscal,1580862A,STE AXA FOOD,شركة اكسا فود,SOCIETE,2018,,,generic_fuzzy,0.75,0,1
matricule_fiscal,1580870A,STE ECOSERVICES INDUSTRIE,شركة ايكوسرفيس للصناعة,SOCIETE,2018,,,generic_fuzzy,0.9,0,1
matricule_fiscal,1580883F,SKATE SCOOTER,سكايت سكوتر,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580884G,STE SIGMA TRAVAUX,شركة سيقما للاشغال,SOCIETE,2018,,,generic_fuzzy,0.88,0,1
matricule_fiscal,1580897M,,STE MADAE TRADING,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580898N,SOMAR EXPORT,سومار للتصدير,SOCIETE,2018,,,generic_fuzzy,0.8182,0,1
matricule_fiscal,1580924X,STE GA CONSULTING SUARL,جي أ كنسيلتينق قروب,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1580929C,STE PRODUITS IRREGATION PLASTIC,شركة مواد الري للبلاستيك,SOCIETE,2018,,,generic_fuzzy,0.8235,0,1
matricule_fiscal,1580931W,SIGMA COMMERCE TUNISIE,سيقما التجارية التونسية,SOCIETE,2018,,,generic_fuzzy,0.8235,0,1
matricule_fiscal,1580933Y,,STE LA GIUSTA SCELTA,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580936B,ATRAIMANT,اتريمون,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580939E,SOCIETE S.D.O CONSULTING,شركة س. د.أو.كونسيلتينغ,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1580942Z,STE CONCEPT MOBILIER,كونسابت موبيليي,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1580945C,AGRO - BIO,اقرو - بيو,SOCIETE,2018,,,generic_fuzzy,0.7778,0,1
matricule_fiscal,1580948F,STE JO JO,شركة جوجو,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580952B,STE NAUTIPRO SARL,تونتيبرو,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580957G,SMART MARKETPLACE,سمارت ماركات بلايس,SOCIETE,2018,,,generic_fuzzy,0.7692,0,1
matricule_fiscal,1580959J,SOCIETE DE DISTRIBUTION BETON CELLULAIRE,شركة توزيع الخرسانة الخلوية,SOCIETE,2018,,,generic_fuzzy,0.8889,0,1
matricule_fiscal,1580960B,Sté SUPERETTE SALMA,شركة سوبرات سالمى,SOCIETE,2018,CO_SALMA,SOCIETE SALMA,discriminating_fuzzy,1.0,1,1
matricule_fiscal,1580965G,,"STE ILIA FORMATION ""S.I.F",SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580968K,DAR EZZOHRA,دار الزهرة,SOCIETE,2018,,,generic_fuzzy,0.6923,0,1
matricule_fiscal,1580973G,,شركة البعث العقاري الزعنوني,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580978M,STE BEN KHADHER SERVICES,شركة بن خضر للخدمات,SOCIETE,2018,,,generic_fuzzy,0.8421,0,1
matricule_fiscal,1580979N,Société FABSKILL,شركة فابسكيل,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580980F,,شركة الزواوي للتجارة,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580986M,,شركة فلي أسماء للخضر,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1581002Q,SOCIETE INFORMATIQUE MEDIA CENTER,شركة أنفورماتيك ميديا سنتر,SOCIETE,2018,,,generic_fuzzy,0.8889,0,1
matricule_fiscal,1581005T,STE IMMOBILIERE SOUANI,عقارية السواني,SOCIETE,2018,,,generic_fuzzy,0.8485,0,1
matricule_fiscal,1581015W,NOON SCIENCES ET SAVOIRS,نون للعلوم و المعارف,SOCIETE,2018,,,generic_fuzzy,0.6957,0,1
matricule_fiscal,1581017Y,ALAA MODE,الاء مود,SOCIETE,2018,,,generic_fuzzy,0.8,0,1
matricule_fiscal,1581019A,LEGIPAD,لوجيباد,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1581021T,PIOVRA GARDE,بيفرا قارد,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1581026Z,BYBLOS CONSULTING,بيبلوس الاستشارة,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1581030V,SOCIETE ELITE EMBALLAGE,شركة إليت أنبلاج,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1581040X,SYNTEC INGENIERIE TUNISIE,شركة سانتاك انجينيوري تونيزي,SOCIETE,2018,,,generic_fuzzy,0.8235,0,1
matricule_fiscal,1581044B,STE FLORA AROME,STE FLORA AROME,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1581046D,STE MEUBLE KAMMOUN,شركة كمون للاثاث,SOCIETE,2018,CO_MEUBLE_KAMMOUN,SOCIETE MEUBLE KAMMOUN,exact,1.0,1,1
matricule_fiscal,1581049G,LE CHARIOT,لوشاريو,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1581051A,STE MAGISTRAL VOYAGES,شركة ماحيسترال للأسفار,SOCIETE,2018,,,generic_fuzzy,0.7778,0,1
matricule_fiscal,1581052B,,STE MEY DISTRIBUTION,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1581058H,L' UNIVERS DU COMMERCE ET DE SERVICES,شركة لينيفار للتجارة و الخدمات,SOCIETE,2018,,,generic_fuzzy,0.8421,0,1
