period,tail,head,role_canonical,certainty,link_status,dissolution_observed
2008,1816,5149,administrateur,possible,ambiguous,1
2008,1817,3880,gerant,certain,resolved,0
2008,1819,4418,gerant,certain,ambiguous,0
2008,1821,5294,administrateur,certain,resolved,0
2008,1824,5133,dg,certain,resolved,0
2008,1831,4268,administrateur|pdg,certain,resolved,0
2008,1832,2927,administrateur,probable,resolved,0
2008,1835,3137,pdg,certain,ambiguous,0
2008,1835,3259,gerant,possible,ambiguous,1
2008,1835,5193,pdg,probable,ambiguous,0
2008,1845,5396,unspecified,certain,resolved,0
2008,1847,5175,dg,certain,resolved,0
2008,1848,5470,administrateur,certain,ambiguous,0
2008,1849,3438,pdg,certain,ambiguous,0
